"","Publisher","Global_Sales","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"1","10TACLE Studios",0.0366666666666667,0.0233333333333333,0.0133333333333333,0,0
"2","1C Company",0.0333333333333333,0.00333333333333333,0.0233333333333333,0,0.00666666666666667
"3","20th Century Fox Video Games",0.388,0.364,0.02,0,0.002
"4","2D Boy",0.04,0,0.03,0,0.01
"5","3DO",0.281111111111111,0.18,0.0844444444444444,0,0.0175
"6","49Games",0.04,0,0.04,0,0
"7","505 Games",0.291197916666667,0.16578125,0.0855729166666667,0.0106770833333333,0.0283333333333333
"8","5pb",0.0267213114754098,0.000327868852459016,0,0.0263934426229508,0
"9","7G//AMES",0.02,0,0.015,0,0
"10","989 Sports",0.38,0.21,0.14,0,0.02
"11","989 Studios",0.951428571428571,0.659285714285714,0.235714285714286,0.00714285714285714,0.0478571428571429
"12","Abylight",0.08,0.07,0,0,0.01
"13","Acclaim Entertainment",0.348586956521739,0.232336956521739,0.0910326086956522,0.00619565217391304,0.0183152173913043
"14","Accolade",0.56,0.416666666666667,0.113333333333333,0,0.0233333333333333
"15","Ackkstudios",0.084,0.013,0.004,0.066,0.001
"16","Acquire",0.0823076923076923,0.0107692307692308,0,0.07,0.00230769230769231
"17","Activision",0.74611282051282,0.440717948717949,0.22105641025641,0.00670769230769231,0.0772717948717949
"18","Activision Blizzard",0.48,0.08,0.36,0,0.04
"19","Activision Value",0.24,0.190689655172414,0.0303448275862069,0,0.0196551724137931
"20","Adeline Software",0.17,0.1,0.07,0,0.01
"21","Aerosoft",0.015,0.005,0.01,0,0
"22","Agatsuma Entertainment",0.103333333333333,0.0733333333333333,0.00666666666666667,0.02,0.00333333333333333
"23","Agetec",0.2425,0.0975,0.0725,0.0475,0.02375
"24","Aksys Games",0.055,0.02375,0.00125,0.0225,0.00625
"25","Alawar Entertainment",0.025,0,0.02,0,0.005
"26","Alchemist",0.0611627906976744,0.0137209302325581,0.0106976744186047,0.0330232558139535,0.00348837209302326
"27","Alternative Software",0.0333333333333333,0,0.03,0,0.005
"28","Altron",0.07,0.05,0.02,0,0
"29","Alvion",0.02,0,0,0.02,0
"30","American Softworks",0.23,0.13,0.09,0,0.02
"31","Angel Studios",0.146666666666667,0,0,0.146666666666667,0
"32","Answer Software",0.5,0.46,0.03,0,0.01
"33","AQ Interactive",0.106,0.068,0.012,0.022,0.01
"34","Aqua Plus",0.0543478260869565,0.00217391304347826,0,0.0517391304347826,0.000869565217391304
"35","Aques",0.16,0,0,0.15,0.01
"36","Arc System Works",0.0569230769230769,0.03,0,0.0219230769230769,0.00461538461538462
"37","Arena Entertainment",2.36,1.85,0.44,0,0.07
"38","Aria",0.07,0,0,0.07,0
"39","Arika",0.03,0.0133333333333333,0.01,0.00666666666666667,0.00333333333333333
"40","ArtDink",0.0811111111111111,0.00777777777777778,0.00555555555555556,0.0655555555555555,0.00444444444444444
"41","Aruze Corp",0.393333333333333,0,0,0.363333333333333,0.0266666666666667
"42","ASC Games",0.673333333333333,0.373333333333333,0.256666666666667,0,0.0433333333333333
"43","Ascaron Entertainment",0.01,0,0.01,0,0
"44","Ascaron Entertainment GmbH",0.0366666666666667,0,0.03,0,0.00666666666666667
"45","ASCII Entertainment",0.5445,0.035,0.022,0.47,0.018
"46","ASCII Media Works",0.03,0,0,0.03,0
"47","Asgard",0.03125,0,0,0.03125,0
"48","ASK",0.03,0,0,0.03,0
"49","Asmik Ace Entertainment",0.0766666666666667,0,0,0.0733333333333333,0.00333333333333333
"50","Asmik Corp",0.085,0,0,0.085,0
"51","Aspyr",0.0775,0.06875,0.005,0,0.00625
"52","Astragon",0.106666666666667,0.04,0.0533333333333333,0,0.01
"53","Asylum Entertainment",0.0983333333333333,0.015,0.0716666666666667,0,0.01
"54","Atari",0.433112947658402,0.303140495867769,0.0747107438016529,0.029504132231405,0.0248209366391185
"55","Athena",0.045,0.01,0,0.035,0
"56","Atlus",0.190149253731343,0.0626865671641791,0.0164179104477612,0.10044776119403,0.0114925373134328
"57","Avalon Interactive",0.08,0.0566666666666667,0.02,0,0.005
"58","Avanquest",0.115384615384615,0.0430769230769231,0.0623076923076923,0,0.00961538461538462
"59","Avanquest Software",0.187777777777778,0.105555555555556,0.0588888888888889,0.00333333333333333,0.0188888888888889
"60","Axela",0.25,0,0,0.24,0.02
"61","BAM! Entertainment",0.141428571428571,0.0902857142857143,0.0414285714285714,0.000857142857142857,0.00685714285714286
"62","Banpresto",0.238356164383562,0.00561643835616438,0.00273972602739726,0.225205479452055,0.00493150684931507
"63","Benesse",0.055,0.00166666666666667,0,0.0533333333333333,0
"64","Berkeley",0.03,0.02,0.01,0,0
"65","Bethesda Softworks",1.1569014084507,0.55943661971831,0.432816901408451,0.0204225352112676,0.143098591549296
"66","Big Ben Interactive",0.142857142857143,0.111428571428571,0.0185714285714286,0,0.01
"67","Big Fish Games",0.025,0,0.02,0,0
"68","Bigben Interactive",0.0646153846153846,0.00769230769230769,0.0476923076923077,0,0.01
"69","bitComposer Games",0.082,0.032,0.04,0,0.016
"70","Black Bean Games",0.0967647058823529,0.0376470588235294,0.0458823529411765,0.000294117647058824,0.0120588235294118
"71","Black Label Games",1.2,0.59,0.46,0,0.15
"72","Blast! Entertainment Ltd",0.0633333333333333,0.0383333333333333,0.0183333333333333,0,0.005
"73","Blue Byte",0.015,0,0.015,0,0
"74","BMG Interactive Entertainment",0.168571428571429,0.0957142857142857,0.0628571428571429,0,0.01
"75","Bohemia Interactive",0.12,0,0.1,0,0.02
"76","Bomb",0.22,0.21,0.01,0,0
"77","Boost On",0.01,0,0,0.01,0
"78","BPS",0.26,0,0,0.26,0
"79","Brash Entertainment",0.123,0.089,0.021,0,0.011
"80","Broccoli",0.0436363636363636,0,0,0.0436363636363636,0
"81","BushiRoad",0.03,0,0,0.03,0
"82","Capcom",0.527270341207349,0.206272965879265,0.102939632545932,0.178687664041995,0.0389501312335958
"83","Cave",0.033,0.014,0,0.018,0.001
"84","CBS Electronics",0.31,0.29,0.02,0,0
"85","CCP",0.22,0,0.19,0,0.02
